Precision at .75,Recall at .10,AUC,Precision at .5,f1 at 0.75,Recall at .85,Precision at .2,f1 at 0.85,f1 at 0.5,f1 at 0.05,Recall at .20,train_time (sec),Precision at .25,Recall at .25,test_time (sec),f1 at 0.2,Precision at .05,classifier,f1 at 0.1,Recall at .5,Recall at .05,Recall at .75,Precision at .10,Precision at .85,Accuracy,f1 at 0.25
0.331687667606 (0.00250899548764),0.467278189065 (0.0013435212503),0.676936640923 (0.00131397729033),0.290963874794 (0.00225545542243),0.208089821253 (0.00169530943481),0.117093995836 (0.00363794246424),0.22933560683 (0.00417305140838),0.172140983945 (0.0044382251025),0.275716380238 (0.00171404074533),0.28400860272 (0.00446749194183),0.412730382665 (0.00160666828977),0.300502379735 (0.0127599697898),0.241680437688 (0.00301235213176),0.386100710874 (0.00133311805556),0.0123591423035 (7.36804707538e-05),0.294816142721 (0.00340299070199),0.204020022473 (0.00434806932657),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=50,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.284034538821 (0.00447271076356),0.262007962927 (0.00259322024617),0.467278189065 (0.0013435212503),0.15160607253 (0.00164646748045),0.204046844908 (0.00435330800943),0.324953841397 (0.00366793934528),0.91638 (0.000367695526217),0.297262463359 (0.00200727745545)
0.349819922937 (0.00419902076076),0.478151244279 (0.00350411539711),0.681345239728 (0.00218313982015),0.303248164127 (0.00221286534805),0.205142816613 (0.00361771536267),0.112904070608 (0.00506173072513),0.230378910402 (0.00222917905749),0.170164162115 (0.00670783492197),0.277814820983 (0.00327478386001),0.284667449556 (0.00354461475924),0.41947957233 (0.00587736281927),0.270530541738 (0.00446053794273),0.245859562753 (0.0016778668785),0.390962523102 (0.0047875718157),0.0125512282054 (3.81521049332e-05),0.297393479001 (0.00219743171215),0.202665781418 (0.00301993774175),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=50,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.284692118206 (0.00350999890446),0.256357396149 (0.00493278540017),0.478151244279 (0.00350411539711),0.145126384766 (0.00290512527547),0.202690609199 (0.00298485801928),0.345451964943 (0.00908476476293),0.919173333333 (0.000703199039312),0.301866368959 (0.00194541606808)
0.497294688557 (0.0225078136622),0.606759935745 (0.014895105252),0.81671922195 (0.00789873449679),0.51232970765 (0.0113392087864),0.0570171651096 (0.00910498993976),0.0171406034345 (0.0029710458986),0.357973213018 (0.0261880257238),0.0331139646429 (0.00563569466747),0.233272154288 (0.00882185593316),0.282623436822 (0.0124861916506),0.455756665805 (0.0387297163018),0.121559858322 (0.00206823254124),0.393916403426 (0.0176251342477),0.3928778362 (0.0317895641284),0.00719594955444 (0.000140895630703),0.399262821976 (0.01554601408),0.173597392771 (0.0101162251779),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=10,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=20, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.368900844686 (0.0178408488214),0.151077444591 (0.00694063361826),0.76349652749 (0.0189275824512),0.0303126747688 (0.00521978973882),0.265298946964 (0.0170735293785),0.505883005883 (0.078310922481),0.93402 (0.000231516738056),0.392093121919 (0.0120108584387)
0.495183044316 (0.00681220405767),0.569135182033 (0.0486487750255),0.80586653786 (0.0163937828201),0.510838252066 (0.0127762225173),0.036217616696 (0.0106137407603),0.00749468245167 (0.00276390530188),0.358052187589 (0.0214719433021),0.0147006866389 (0.0053573989579),0.227557369038 (0.0338109041062),0.256840479414 (0.034463513029),0.433779309748 (0.0208752569059),0.102035681407 (0.018352507327),0.388497770782 (0.0175388712078),0.384399582712 (0.0200768765991),0.00698256492615 (0.000183729117179),0.391525651069 (0.0124379730363),0.155066350617 (0.0251725218277),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=10,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=20, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.360052447363 (0.025387065962),0.147345914615 (0.0279491187852),0.771139695552 (0.0267854985726),0.0188644763153 (0.00570588810953),0.266537540616 (0.0322722006596),0.424433409728 (0.0618667862284),0.933906666667 (0.000657334685597),0.385888621734 (0.0115033446505)
0.443501775339 (0.0147123585224),0.566977849979 (0.0120493181409),0.738588815119 (0.00912268302562),0.382443125882 (0.00537212457339),0.169460424874 (0.0110780408584),0.0647808794414 (0.0102399173073),0.287597439843 (0.00634349393868),0.111397909193 (0.0161848584671),0.295824260033 (0.00799991494289),0.277408104253 (0.00700854455961),0.455482024339 (0.0072394228048),0.200899680456 (0.00670681964856),0.311487125954 (0.00661371504438),0.407824452157 (0.00297223694777),0.010756333669 (0.000204114742367),0.352553973488 (0.00646481123581),0.17573488094 (0.00499328412402),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=20,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=20, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.325721311086 (0.0115067600615),0.241245337437 (0.00861995240506),0.658501533251 (0.0129282070768),0.104788489717 (0.00771407099059),0.228564076242 (0.00991414108468),0.400972495525 (0.0236513822096),0.927393333333 (0.000307390450224),0.353178946579 (0.0050543816828)
0.428404498852 (0.0226489468824),0.57020961746 (0.0119706715075),0.730585157526 (0.00848725989332),0.373610795592 (0.0107794673603),0.156747932759 (0.00522667108196),0.0533554035847 (0.00177759520268),0.278071674103 (0.00379646270725),0.0935146544462 (0.00288208997221),0.275663962077 (0.00836473605462),0.276127894546 (0.00708842404363),0.440659926382 (0.00462668085447),0.182306130727 (0.00542415896211),0.300372775378 (0.00228058932998),0.388802283032 (0.00613564238473),0.0108827749888 (7.6742723259e-05),0.34094053033 (0.00252697810752),0.174613341983 (0.00472763496804),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=20,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=20, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.31491339708 (0.00400166817495),0.218525598306 (0.00842150968496),0.659649869958 (0.0141743337666),0.0959366743859 (0.00285798378209),0.21754493892 (0.0026831538067),0.378242218928 (0.00519062863565),0.927386666667 (0.000722280339542),0.338881599186 (0.00229168088071)
0.404847967217 (0.0150937074012),0.579995545788 (0.0010110760211),0.738158103628 (0.00173925408651),0.362353419319 (0.0116243417159),0.16618279917 (0.00621838161138),0.0608510652852 (0.00180792320569),0.255640954573 (0.00250042804083),0.104255283951 (0.00284624727634),0.283750932776 (0.00635655305756),0.273908189861 (0.004156656014),0.465880791154 (0.00156411239316),0.210034449895 (0.0126995755079),0.281315463608 (0.00370888045322),0.418992921662 (0.00393105282755),0.0118839740753 (0.000170615884571),0.330123628574 (0.00220606247938),0.174340772956 (0.00336081758453),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=50,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=20, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.299288630614 (0.00335438415193),0.233206598511 (0.00411717520937),0.638834645075 (0.00193012171883),0.104654220621 (0.00513114870389),0.201694255559 (0.00312915031394),0.364011600147 (0.0112219999938),0.925806666667 (0.000877319148822),0.336610115569 (0.00350180638694)
0.396267035949 (0.008079542248),0.566942578633 (0.0089450311719),0.730212261165 (0.00125372565365),0.349448947143 (0.00757539438588),0.15114682827 (0.00825205871264),0.0573219076543 (0.00582727694194),0.249872136771 (0.00065883795602),0.0990647343193 (0.0085307870519),0.268906773999 (0.00623594007279),0.26519772684 (0.00237630382163),0.453352807288 (0.0063074072389),0.174967924754 (0.0136831149666),0.27282701194 (0.00341782553032),0.401652546742 (0.00781215813531),0.0118939081828 (8.63062815755e-05),0.322164148931 (0.00214068620258),0.168035109968 (0.00200468846744),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=50,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=20, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.291509718392 (0.00162446535812),0.21854097943 (0.00533882649331),0.628872444296 (0.00189808771813),0.0934268572101 (0.00591621248423),0.196205168931 (0.000640256882195),0.36927927642 (0.0128298022886),0.925453333333 (0.000952797051959),0.32492715984 (0.00477847963532)
0.481873433534 (0.0359519540793),0.641673323696 (0.0383027184669),0.829007955255 (0.00186231277119),0.517620686493 (0.0176081957937),0.0421185914245 (0.00526787185046),0.00818951222104 (0.00212541452203),0.340935418728 (0.00385747491482),0.0160670906915 (0.00408596845727),0.228122878298 (0.0189094018045),0.287028511879 (0.00282744654989),0.490051393858 (0.0146833230825),0.173493305842 (0.00296624303311),0.397046427097 (0.00454686723764),0.399137436423 (0.00486693275542),0.00688378016154 (0.000145965445592),0.4020401686 (0.00652588713254),0.175500790696 (0.0020991367893),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=10,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=20, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.362880072431 (0.0203906554677),0.146986898473 (0.0164976368418),0.787532672798 (0.00447999260218),0.0220574244466 (0.00295108389268),0.254676223369 (0.0246384439923),0.451376701569 (0.0071976326814),0.9339 (0.000312836485511),0.398085206298 (0.00453298928764)
0.55077364279 (0.0742834519324),0.632837633026 (0.0185764885521),0.822247945474 (0.00500266368978),0.518179540002 (0.0235938920161),0.0618110475992 (0.0186022076936),0.0110819730912 (0.00286764297309),0.373399457657 (0.0153063736198),0.021629604544 (0.00551208008095),0.243277729177 (0.0209253514239),0.280862757323 (0.00705142737279),0.439936888608 (0.0221281017346),0.140526533127 (0.0306058172745),0.403721657419 (0.0151767761721),0.391814607158 (0.0108145575812),0.00701189041138 (7.17686126759e-05),0.403426827005 (0.0110469465098),0.171630475443 (0.00543183824898),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=10,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=20, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.356513947318 (0.0233124900354),0.159968921277 (0.0193698610585),0.773387033568 (0.00413744305596),0.0328306736002 (0.0101712910879),0.249316914968 (0.0247113835283),0.463519480918 (0.0702407016329),0.934046666667 (0.000409986449641),0.39747531959 (0.00934938443876)
